Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-02-12),Price Override,Watchlist,Date Added,Notes
,Pokemon,Astral Radiance,Hisuian Typhlosion VSTAR (Secret),193/189,Ultra Rare,,,,,,15.66,0,true,,
,Pokemon,XY Promos (JP),Pikachu,090/XY-P,Ultra Rare,,,,,,742.52,0,true,,
gdv,Pokemon,Burning Shadows,Gardevoir GX (Full Art) ,140/147,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,21.74,0,false,2026-02-10,
gdv,Pokemon,Chilling Reign,Gardevoir ,061/198,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,1.14,0,false,2026-02-10,
gdv,Pokemon,Dark Explorers,Gardevoir ,109,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,763.57,0,false,2026-02-10,
gdv,Pokemon,EX Delta Species,Gardevoir (Delta Species) ,6,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,280.71,0,false,2026-02-10,
gdv,Pokemon,EX Emerald,Gardevoir ,4,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,188.34,0,false,2026-02-10,
gdv,Pokemon,EX Power Keepers,Gardevoir ,9,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,35.02,0,false,2026-02-10,
gdv,Pokemon,EX Sandstorm,Gardevoir ex ,96,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,223.63,0,false,2026-02-10,
gdv,Pokemon,Hidden Fates: Shiny Vault,Gardevoir GX ,SV75/SV94,Shiny Holo Rare,Holofoil,Ungraded,Near Mint,0,1,55.51,0,false,2026-02-10,
gdv,Pokemon,MEGA Dream ex,Mega Gardevoir ex ,226/193,Mega Attack Rare,Holofoil,Ungraded,Near Mint,0,1,10.92,0,false,2026-02-10,
gdv,Pokemon,Mega Evolution,Mega Gardevoir ex ,187/132,Mega Hyper Rare,Holofoil,Ungraded,Near Mint,0,1,311.55,0,false,2026-02-10,
gdv,Pokemon,Miscellaneous Cards & Products,Gardevoir - 408/SM-P (JP Illustration Grand Prix Winner 2019) ,408/SM-P,Promo,Normal,Ungraded,Near Mint,0,1,42.12,0,false,2026-02-10,
gdv,Pokemon,Next Destinies,Gardevoir ,57,Holo Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,16.87,0,false,2026-02-10,
gdv,Pokemon,Primal Clash,Gardevoir EX (155 Full Art) ,155,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,76.88,0,false,2026-02-10,
gdv,Pokemon,Primal Clash,M Gardevoir EX (156 Full Art) ,156,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,133.96,0,false,2026-02-10,
gdv,Pokemon,Secret Wonders,Gardevoir Lv.X ,131,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,80.99,0,false,2026-02-10,
gdv,Pokemon,Silver Tempest,Gardevoir ,069/195,Rare,Reverse Holofoil,Ungraded,Near Mint,0,1,0.69,0,false,2026-02-10,
gdv,Pokemon,Steam Siege,Gardevoir Spirit Link ,101,Uncommon,Normal,Ungraded,Near Mint,0,1,0.31,0,false,2026-02-10,
gdv,Pokemon,Sword & Shield Promo,Gardevoir V ,SWSH105,Promo,Holofoil,Ungraded,Near Mint,0,1,2.53,0,false,2026-02-10,
gdv,Pokemon,Unbroken Bonds,Gardevoir & Sylveon GX (204) (Full Art) ,204,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,118.54,0,false,2026-02-10,
gdv,Pokemon,Unbroken Bonds,Gardevoir & Sylveon GX (Secret) ,225,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,181.87,0,false,2026-02-10,
Gem 2,Pokemon,Gem Pack 2,Darkness Energy (CN),1103/06,Rare,Holofoil,Ungraded,Near Mint,0,1,11.38,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (CN),0113/15,Rare,Holofoil,Ungraded,Near Mint,0,1,3.01,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (CN),0102/15,Common,Holofoil,Ungraded,Near Mint,0,1,2.31,0,false,2026-02-04,
Gem 2,Pokemon,Gem Pack 2,Eevee (CN),0114/15,Double Rare,Holofoil,Ungraded,Near Mint,0,1,10.64,0,false,2026-02-04,
